topology,trial,model,top1,top5,top10,bias,avg_hop_error,first_detect_time,wall_time_s
BA,12,DeepTrace++,0,1,1,5921.165,1,,0.2635
BA,12,Rumor Center,0,1,1,,1,200.0,0.0068
BA,13,DeepTrace,1,1,1,7319.6519,0,,0.1852
BA,13,DT++ enriched,1,1,1,6916.0684,0,,0.2595
BA,13,DT++ weighted,1,1,1,7685.123,0,,0.1862
BA,13,DeepTrace++,1,1,1,6885.8579,0,,0.2617
BA,13,Rumor Center,1,1,1,,0,200.0,0.0067
BA,14,DeepTrace,0,1,1,7522.0762,1,,0.179
BA,14,DT++ enriched,0,1,1,7083.2163,1,,0.2533
BA,14,DT++ weighted,0,1,1,7962.9487,1,,0.1803
BA,14,DeepTrace++,0,1,1,7094.0957,1,,0.2535
BA,14,Rumor Center,1,1,1,,0,200.0,0.0067
BA,15,DeepTrace,0,0,0,4478.2275,4,,0.1753
BA,15,DT++ enriched,0,0,0,4076.2244,4,,0.1861
BA,15,DT++ weighted,0,0,0,4665.875,4,,0.2436
BA,15,DeepTrace++,0,0,0,4178.772,4,,0.1901
BA,15,Rumor Center,1,1,1,,0,200.0,0.0069
BA,16,DeepTrace,0,1,1,8349.1523,3,,0.2573
BA,16,DT++ enriched,0,0,0,7984.2944,3,,0.2092
BA,16,DT++ weighted,0,1,1,8550.9922,3,,0.2555
BA,16,DeepTrace++,0,1,1,7931.4097,3,,0.2097
BA,16,Rumor Center,1,1,1,,0,200.0,0.007
BA,17,DeepTrace,0,1,1,6585.6206,1,,0.2459
BA,17,DT++ enriched,0,1,1,6370.9004,1,,0.2006
BA,17,DT++ weighted,0,1,1,6944.4946,1,,0.2485
BA,17,DeepTrace++,0,1,1,6337.7754,1,,0.2006
BA,17,Rumor Center,1,1,1,,0,200.0,0.007
BA,18,DeepTrace,0,1,1,7558.8184,1,,0.2458
BA,18,DT++ enriched,0,1,1,6962.2573,1,,0.2026
BA,18,DT++ weighted,0,1,1,7711.8682,1,,0.2478
BA,18,DeepTrace++,0,1,1,7056.3325,1,,0.2012
BA,18,Rumor Center,0,1,1,,1,200.0,0.0069
BA,19,DeepTrace,0,0,0,5190.9067,2,,0.2454
BA,19,DT++ enriched,0,0,0,4932.4053,2,,0.1997
BA,19,DT++ weighted,0,0,0,5378.998,2,,0.2477
BA,19,DeepTrace++,0,0,0,4850.4683,2,,0.1999
BA,19,Rumor Center,1,1,1,,0,200.0,0.0069
WS,0,DeepTrace,0,0,0,14628.1582,4,200.0,1.4703
WS,0,DT++ enriched,0,0,0,13939.3428,4,200.0,1.4973
WS,0,DT++ weighted,0,0,0,14938.0371,4,200.0,1.4012
WS,0,DeepTrace++,0,0,0,14578.6885,4,200.0,1.4915
WS,0,Rumor Center,1,1,1,,0,200.0,0.0067
WS,1,DeepTrace,0,0,0,10081.416,4,200.0,1.3698
WS,1,DT++ enriched,0,0,0,9431.4873,4,200.0,1.5256
WS,1,DT++ weighted,0,0,0,10164.7822,4,200.0,1.3664
WS,1,DeepTrace++,0,0,0,9951.0654,4,200.0,1.4669
WS,1,Rumor Center,1,1,1,,0,200.0,0.0069
WS,2,DeepTrace,0,0,0,8844.415,5,200.0,1.3919
WS,2,DT++ enriched,0,0,0,8250.6123,3,200.0,1.4329
WS,2,DT++ weighted,0,0,0,8995.7178,3,200.0,1.335
WS,2,DeepTrace++,0,0,0,8784.3203,3,200.0,1.428
WS,2,Rumor Center,1,1,1,,0,200.0,0.0068
WS,3,DeepTrace,0,0,0,18348.6191,4,200.0,1.4744
WS,3,DT++ enriched,0,0,0,17504.2676,4,200.0,1.517
WS,3,DT++ weighted,0,0,0,18629.5332,4,200.0,1.4108
WS,3,DeepTrace++,0,0,0,18240.707,4,200.0,1.5128
WS,3,Rumor Center,1,1,1,,0,200.0,0.0067
WS,4,DeepTrace,0,0,0,13772.4248,3,200.0,1.4225
WS,4,DT++ enriched,0,0,0,13129.3516,3,200.0,1.4552
WS,4,DT++ weighted,0,0,0,13926.9062,3,200.0,1.3647
WS,4,DeepTrace++,0,0,0,13617.6836,3,200.0,1.5219
WS,4,Rumor Center,1,1,1,,0,200.0,0.0068
WS,5,DeepTrace,0,1,1,15498.2764,3,,0.2133
WS,5,DT++ enriched,0,1,1,14524.3965,3,,0.297
WS,5,DT++ weighted,0,0,0,15612.1797,3,,0.2223
WS,5,DeepTrace++,0,0,0,15347.5947,3,,0.2349
WS,5,Rumor Center,1,1,1,,0,200.0,0.0072
WS,6,DeepTrace,0,0,0,13317.9365,4,,0.2834
WS,6,DT++ enriched,0,0,0,12674.3018,4,,0.227
WS,6,DT++ weighted,0,0,0,13415.2119,4,,0.2748
WS,6,DeepTrace++,0,0,0,13119.0664,4,,0.2313
WS,6,Rumor Center,1,1,1,,0,200.0,0.0073
WS,7,DeepTrace,0,0,0,15420.0879,2,,0.2729
WS,7,DT++ enriched,0,0,0,14508.8936,2,,0.2255
WS,7,DT++ weighted,0,0,0,15397.0127,2,,0.2729
WS,7,DeepTrace++,0,0,0,15210.1807,2,,0.2269
WS,7,Rumor Center,1,1,1,,0,200.0,0.0072
WS,8,DeepTrace,0,0,0,22794.2324,4,,0.2866
WS,8,DT++ enriched,0,0,0,21537.8203,4,,0.2403
WS,8,DT++ weighted,0,0,0,22789.8262,4,,0.2897
WS,8,DeepTrace++,0,0,0,22553.7676,4,,0.2409
WS,8,Rumor Center,1,1,1,,0,200.0,0.0073
WS,9,DeepTrace,0,0,0,13945.3232,4,,0.271
WS,9,DT++ enriched,0,0,0,13473.1533,4,,0.224
WS,9,DT++ weighted,0,0,0,14205.7549,4,,0.27
WS,9,DeepTrace++,0,0,0,13853.3418,4,,0.2249
WS,9,Rumor Center,1,1,1,,0,200.0,0.007
WS,10,DeepTrace,0,0,0,11593.4619,3,,0.2622
WS,10,DT++ enriched,0,0,0,10861.3145,3,,0.2171
WS,10,DT++ weighted,0,0,0,11621.5645,3,,0.2653
WS,10,DeepTrace++,0,0,0,11429.9941,3,,0.2168
WS,10,Rumor Center,1,1,1,,0,200.0,0.0071
WS,11,DeepTrace,0,0,0,11730.7412,4,,0.2765
WS,11,DT++ enriched,0,0,0,11071.8887,4,,0.2254
WS,11,DT++ weighted,0,0,0,12001.1475,4,,0.2833
WS,11,DeepTrace++,0,0,0,11731.7275,4,,0.2285
WS,11,Rumor Center,1,1,1,,0,200.0,0.0071
WS,12,DeepTrace,0,0,0,15099.4727,3,,0.2194
WS,12,DT++ enriched,0,0,0,14445.207,3,,0.2926
WS,12,DT++ weighted,0,0,0,15311.8721,3,,0.218
WS,12,DeepTrace++,0,0,0,14951.2627,3,,0.2926
WS,12,Rumor Center,1,1,1,,0,200.0,0.0071
WS,13,DeepTrace,0,0,0,12703.7197,3,,0.2155
WS,13,DT++ enriched,0,0,0,11866.8564,3,,0.2873
WS,13,DT++ weighted,0,0,0,12726.8096,3,,0.2143
WS,13,DeepTrace++,0,0,0,12526.9209,3,,0.2876
WS,13,Rumor Center,1,1,1,,0,200.0,0.0071
WS,14,DeepTrace,0,0,0,16146.7139,3,,0.2183
WS,14,DT++ enriched,0,0,0,14986.9375,3,,0.2943
WS,14,DT++ weighted,0,0,0,16067.709,3,,0.2189
WS,14,DeepTrace++,0,0,0,15967.5518,3,,0.2917
WS,14,Rumor Center,0,1,1,,1,200.0,0.0073
WS,15,DeepTrace,0,0,0,12611.6309,3,,0.2154
WS,15,DT++ enriched,0,0,0,11810.1992,4,,0.2888
WS,15,DT++ weighted,0,0,0,12713.4102,3,,0.2161
WS,15,DeepTrace++,0,0,0,12501.2109,3,,0.2893
WS,15,Rumor Center,1,1,1,,0,200.0,0.007
WS,16,DeepTrace,0,0,0,12747.4033,5,,0.2135
WS,16,DT++ enriched,0,0,0,11920.9854,5,,0.2858
WS,16,DT++ weighted,0,0,0,12793.5645,5,,0.2135
WS,16,DeepTrace++,0,0,0,12600.9717,5,,0.2883
WS,16,Rumor Center,1,1,1,,0,200.0,0.0078
WS,17,DeepTrace,0,0,0,14521.2949,4,,0.2216
WS,17,DT++ enriched,0,0,0,13834.5449,4,,0.2941
WS,17,DT++ weighted,0,0,0,14790.8965,4,,0.2199
WS,17,DeepTrace++,0,0,0,14443.1113,4,,0.2937
WS,17,Rumor Center,1,1,1,,0,200.0,0.007
WS,18,DeepTrace,0,0,0,15658.334,5,,0.2152
WS,18,DT++ enriched,0,0,0,14512.5059,6,,0.2923
WS,18,DT++ weighted,0,0,0,15549.25,5,,0.215
WS,18,DeepTrace++,0,0,0,15447.8623,5,,0.2921
WS,18,Rumor Center,1,1,1,,0,200.0,0.0073
WS,19,DeepTrace,0,0,0,15064.7148,6,,0.2227
WS,19,DT++ enriched,0,0,0,13937.8779,6,,0.2955
WS,19,DT++ weighted,0,0,0,14867.2549,6,,0.2196
WS,19,DeepTrace++,0,0,0,14797.0918,6,,0.2337
WS,19,Rumor Center,0,1,1,,1,200.0,0.0072
Regular,0,DeepTrace,0,0,0,21655.2012,5,200.0,1.4795
Regular,0,DT++ enriched,0,0,0,20626.3281,5,200.0,1.4944
Regular,0,DT++ weighted,0,0,0,21931.8359,5,200.0,1.4428
Regular,0,DeepTrace++,0,0,0,21648.1973,4,200.0,1.4941
Regular,0,Rumor Center,1,1,1,,0,200.0,0.0066
Regular,1,DeepTrace,0,0,0,21662.8477,5,200.0,1.4708
Regular,1,DT++ enriched,0,0,0,20616.3359,4,200.0,1.4978
Regular,1,DT++ weighted,0,0,0,21912.8262,3,200.0,1.4065
Regular,1,DeepTrace++,0,0,0,21646.0137,3,200.0,1.5585
Regular,1,Rumor Center,1,1,1,,0,200.0,0.0066
Regular,2,DeepTrace,0,0,0,18166.8301,5,200.0,1.4272
Regular,2,DT++ enriched,0,0,0,17192.5723,4,200.0,1.5121
Regular,2,DT++ weighted,0,0,0,18421.9219,5,200.0,1.4258
Regular,2,DeepTrace++,0,0,0,18149.5352,4,200.0,1.5855
Regular,2,Rumor Center,1,1,1,,0,200.0,0.0066
Regular,3,DeepTrace,0,0,0,19290.4082,4,200.0,1.4279
Regular,3,DT++ enriched,0,0,0,18290.1914,4,200.0,1.5285
Regular,3,DT++ weighted,0,0,0,19514.4551,5,200.0,1.4309
Regular,3,DeepTrace++,0,0,0,19240.1797,3,200.0,1.5202
Regular,3,Rumor Center,1,1,1,,0,200.0,0.0068
Regular,4,DeepTrace,0,0,0,23291.623,5,200.0,1.5247
Regular,4,DT++ enriched,0,0,0,22195.4629,4,200.0,1.5655
Regular,4,DT++ weighted,0,0,0,23506.0605,4,200.0,1.4124
Regular,4,DeepTrace++,0,0,0,23226.4121,5,200.0,1.5676
Regular,4,Rumor Center,1,1,1,,0,200.0,0.0066
Regular,5,DeepTrace,0,0,0,24194.8633,5,,0.2135
Regular,5,DT++ enriched,0,0,0,23058.7305,4,,0.2426
Regular,5,DT++ weighted,0,0,0,24435.4121,3,,0.2877
Regular,5,DeepTrace++,0,0,0,24108.2227,3,,0.2674
Regular,5,Rumor Center,1,1,1,,0,200.0,0.007
Regular,6,DeepTrace,0,0,0,20636.8496,5,,0.2749
Regular,6,DT++ enriched,0,0,0,19634.2207,5,,0.223
Regular,6,DT++ weighted,0,0,0,20839.4316,5,,0.2692
Regular,6,DeepTrace++,0,0,0,20576.2734,6,,0.2239
Regular,6,Rumor Center,0,1,1,,1,200.0,0.0068
Regular,7,DeepTrace,0,0,0,19190.5762,5,,0.2759
Regular,7,DT++ enriched,0,0,0,18206.7207,5,,0.26
Regular,7,DT++ weighted,0,0,0,19403.4863,5,,0.3081
Regular,7,DeepTrace++,0,0,0,19136.4316,5,,0.2533
Regular,7,Rumor Center,1,1,1,,0,200.0,0.0069
Regular,8,DeepTrace,0,0,0,17238.6309,5,,0.2798
Regular,8,DT++ enriched,0,0,0,16262.6592,4,,0.2234
Regular,8,DT++ weighted,0,0,0,17394.9082,4,,0.2768
Regular,8,DeepTrace++,0,0,0,17148.3535,3,,0.2258
Regular,8,Rumor Center,1,1,1,,0,200.0,0.007
Regular,9,DeepTrace,0,0,0,22416.9922,5,,0.2824
Regular,9,DT++ enriched,0,0,0,21322.3203,4,,0.2322
Regular,9,DT++ weighted,0,0,0,22622.7031,3,,0.2784
Regular,9,DeepTrace++,0,0,0,22379.0215,3,,0.2275
Regular,9,Rumor Center,1,1,1,,0,200.0,0.007
Regular,10,DeepTrace,0,0,0,23249.8477,5,,0.2936
Regular,10,DT++ enriched,0,0,0,22123.9453,4,,0.232
Regular,10,DT++ weighted,0,0,0,23515.4551,3,,0.2915
Regular,10,DeepTrace++,0,0,0,23225.1895,5,,0.2302
Regular,10,Rumor Center,1,1,1,,0,200.0,0.0068
Regular,11,DeepTrace,0,0,0,20975.918,4,,0.282
Regular,11,DT++ enriched,0,0,0,19929.0742,4,,0.2232
Regular,11,DT++ weighted,0,0,0,21217.9902,5,,0.2916
Regular,11,DeepTrace++,0,0,0,20980.6465,5,,0.2319
Regular,11,Rumor Center,1,1,1,,0,200.0,0.0078
Regular,12,DeepTrace,0,0,0,20110.7305,5,,0.2143
Regular,12,DT++ enriched,0,0,0,19104.8652,4,,0.2948
Regular,12,DT++ weighted,0,0,0,20367.2031,4,,0.2164
Regular,12,DeepTrace++,0,0,0,20072.2031,3,,0.2876
Regular,12,Rumor Center,1,1,1,,0,200.0,0.007
Regular,13,DeepTrace,0,0,0,22850.8574,5,,0.2107
Regular,13,DT++ enriched,0,0,0,21780.3809,5,,0.2861
Regular,13,DT++ weighted,0,0,0,23055.7598,2,,0.2149
Regular,13,DeepTrace++,0,0,0,22806.5898,2,,0.2877
Regular,13,Rumor Center,1,1,1,,0,200.0,0.0071
Regular,14,DeepTrace,0,0,0,23267.0215,3,,0.2121
Regular,14,DT++ enriched,0,0,0,22213.084,4,,0.2843
Regular,14,DT++ weighted,0,0,0,23459.2344,3,,0.2111
